Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Gianluigi Donnarumma,it ITA,GK,24.0,25,25,2169.0,24.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Kylian Mbappé,fr FRA,FW,24.0,29,24,2158.0,24.0,27.0,7.0,34.0,21.0,6.0,8.0,4.0,0.0,21.0,14.5,5.7,20.2,114.0,122.0,286.0,1.13,0.29,1.42,0.88,1.17,0.87,0.24,1.11,0.6,0.84,Matches
Vitinha,pt POR,MF,23.0,28,23,2126.0,23.6,7.0,4.0,11.0,7.0,0.0,0.0,0.0,0.0,3.1,3.1,3.1,6.3,41.0,182.0,122.0,0.3,0.17,0.47,0.3,0.47,0.13,0.13,0.26,0.13,0.26,Matches
Lucas Hernández,fr FRA,DF,27.0,27,23,1909.0,21.2,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,0.5,0.5,1.6,2.0,30.0,156.0,22.0,0.05,0.05,0.09,0.05,0.09,0.02,0.07,0.1,0.02,0.1,Matches
Danilo Pereira,pt POR,DF,31.0,26,22,1995.0,22.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.4,1.4,0.0,1.4,28.0,148.0,2.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches
Warren Zaire-Emery,fr FRA,"MF,DF",17.0,26,21,1962.0,21.8,2.0,3.0,5.0,2.0,0.0,0.0,4.0,0.0,1.4,1.4,3.2,4.5,54.0,116.0,90.0,0.09,0.14,0.23,0.09,0.23,0.06,0.14,0.21,0.06,0.21,Matches
Manuel Ugarte Ribeiro,uy URU,MF,22.0,25,21,1932.0,21.5,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.6,0.6,0.9,1.5,16.0,87.0,24.0,0.0,0.09,0.09,0.0,0.09,0.03,0.04,0.07,0.03,0.07,Matches
Achraf Hakimi,ma MAR,DF,24.0,25,20,1932.0,21.5,4.0,5.0,9.0,4.0,0.0,0.0,3.0,0.0,4.2,4.2,5.2,9.4,84.0,218.0,230.0,0.19,0.23,0.42,0.19,0.42,0.2,0.24,0.44,0.2,0.44,Matches
Marquinhos,br BRA,DF,29.0,21,18,1537.0,17.1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.5,0.9,18.0,114.0,3.0,0.0,0.06,0.06,0.0,0.06,0.03,0.03,0.05,0.03,0.05,Matches
Lee Kang-in,kr KOR,"FW,MF",22.0,23,18,1464.0,16.3,3.0,4.0,7.0,3.0,0.0,0.0,2.0,0.0,1.5,1.5,2.3,3.7,50.0,103.0,150.0,0.18,0.25,0.43,0.18,0.43,0.09,0.14,0.23,0.09,0.23,Matches
Bradley Barcola,fr FRA,"FW,MF",20.0,25,18,1370.0,15.2,4.0,7.0,11.0,4.0,0.0,0.0,3.0,1.0,4.5,4.5,5.2,9.8,93.0,56.0,216.0,0.26,0.46,0.72,0.26,0.72,0.3,0.34,0.64,0.3,0.64,Matches
Milan Škriniar,sk SVK,DF,28.0,24,17,1629.0,18.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.1,0.2,5.0,61.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches
Ousmane Dembélé,fr FRA,"MF,FW",26.0,26,17,1506.0,16.7,3.0,8.0,11.0,3.0,0.0,0.0,0.0,0.0,4.4,4.4,6.7,11.1,160.0,133.0,247.0,0.18,0.48,0.66,0.18,0.66,0.26,0.4,0.67,0.26,0.67,Matches
Gonçalo Ramos,pt POR,FW,22.0,29,16,1419.0,15.8,11.0,1.0,12.0,10.0,1.0,1.0,1.0,0.0,10.9,10.2,2.4,12.5,11.0,29.0,88.0,0.7,0.06,0.76,0.63,0.7,0.69,0.15,0.84,0.64,0.79,Matches
Fabián Ruiz Peña,es ESP,MF,27.0,21,14,1197.0,13.3,1.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,2.0,2.0,1.2,3.1,16.0,78.0,40.0,0.08,0.23,0.3,0.08,0.3,0.15,0.09,0.24,0.15,0.24,Matches
Randal Kolo Muani,fr FRA,"FW,MF",24.0,26,13,1268.0,14.1,6.0,5.0,11.0,6.0,0.0,0.0,1.0,0.0,6.1,6.1,3.3,9.4,36.0,42.0,125.0,0.43,0.35,0.78,0.43,0.78,0.43,0.23,0.66,0.43,0.66,Matches
Marco Asensio,es ESP,"MF,FW",27.0,19,13,1113.0,12.4,4.0,5.0,9.0,4.0,0.0,0.0,0.0,0.0,3.2,3.2,5.8,9.0,36.0,71.0,92.0,0.32,0.4,0.73,0.32,0.73,0.26,0.47,0.73,0.26,0.73,Matches
Carlos Soler,es ESP,"MF,DF",26.0,24,12,1090.0,12.1,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,1.5,1.5,2.4,3.9,15.0,74.0,59.0,0.17,0.17,0.33,0.17,0.33,0.12,0.2,0.32,0.12,0.32,Matches
Lucas Beraldo,br BRA,DF,19.0,13,12,1008.0,11.2,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,1.0,1.0,0.2,1.2,7.0,44.0,2.0,0.09,0.0,0.09,0.09,0.09,0.09,0.02,0.11,0.09,0.11,Matches
Nordi Mukiele,fr FRA,DF,25.0,16,9,796.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.3,1.3,0.1,1.4,12.0,32.0,26.0,0.0,0.0,0.0,0.0,0.0,0.15,0.01,0.16,0.15,0.16,Matches
Arnau Tenas,es ESP,GK,22.0,6,5,529.0,5.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.17,0.17,0.0,0.17,0.0,0.13,0.13,0.0,0.13,Matches
Yoram Zague,fr FRA,DF,17.0,5,4,373.0,4.1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.3,0.3,0.5,0.8,2.0,13.0,4.0,0.24,0.0,0.24,0.24,0.24,0.07,0.11,0.18,0.07,0.18,Matches
Keylor Navas,cr CRC,GK,36.0,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Senny Mayulu,fr FRA,"FW,MF",17.0,8,3,324.0,3.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.5,0.6,4.0,11.0,38.0,0.0,0.28,0.28,0.0,0.28,0.04,0.13,0.17,0.04,0.17,Matches
Nuno Mendes,pt POR,DF,21.0,6,2,267.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.3,0.3,0.4,0.7,12.0,21.0,25.0,0.34,0.34,0.67,0.34,0.67,0.11,0.14,0.25,0.11,0.25,Matches
Ethan Mbappé,fr FRA,"MF,DF",16.0,3,0,48.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.27,0.27,0.27,Matches
Cher Ndour,it ITA,MF,19.0,3,0,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Hugo Ekitike,fr FRA,FW,21.0,1,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,Matches
Layvin Kurzawa,fr FRA,DF,30.0,1,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Kouakou Gadou,fr FRA,DF,16.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Ismaël Gharbi,es ESP,MF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Alexandre Letellier,fr FRA,GK,32.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Louis Mouquet,pt POR,GK,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,24.7,34,374,3060.0,34.0,78.0,61.0,139.0,71.0,7.0,9.0,51.0,3.0,68.8,61.6,51.6,113.2,845.0,1915.0,1901.0,2.29,1.79,4.09,2.09,3.88,2.02,1.52,3.54,1.81,3.33,
Opponent Total,,,25.8,34,374,3060.0,34.0,33.0,23.0,56.0,29.0,4.0,5.0,50.0,2.0,40.0,36.4,28.9,65.3,488.0,1054.0,1044.0,0.97,0.68,1.65,0.85,1.53,1.18,0.85,2.03,1.07,1.92,
